product_id,vendor_id,market_date,customer_id,quantity,cost_to_customer_per_qty,transaction_time
4,1,2019-07-03,653,4,5.50,null
5,2,2019-07-03,654,5,0.99,14:20:05
6,1,2019-07-03,655,6,2.18,12:05:44
7,1,2019-07-03,656,7,null,10:15:20
8,2,None,657,8,6.99,09:30:11
9,null,2019-07-03,658,9,1.25,null
10,1,2019-07-03,659,10,null,14:20:05
11,2,2019-07-03,660,null,5.50,12:05:44
12,1,2019-07-03,661,2,0.99,10:15:20
13,1,None,662,3,2.18,09:30:11
14,2,2019-07-03,663,4,null,null
15,null,2019-07-03,664,5,6.99,14:20:05
16,1,2019-07-03,665,6,1.25,12:05:44
17,2,2019-07-03,666,7,null,10:15:20
18,1,None,667,8,5.50,09:30:11
19,1,2019-07-03,668,null,0.99,null
20,2,2019-07-03,669,10,2.18,14:20:05
21,null,2019-07-03,670,1,null,12:05:44
22,1,2019-07-03,671,2,6.99,10:15:20
23,2,None,672,3,1.25,09:30:11
24,1,2019-07-03,673,4,null,null
25,1,2019-07-03,674,5,5.50,14:20:05
26,2,2019-07-03,675,6,0.99,12:05:44
27,null,2019-07-03,676,null,2.18,10:15:20
28,1,None,677,8,null,09:30:11
29,2,2019-07-03,678,9,6.99,null
30,1,2019-07-03,679,10,1.25,14:20:05
31,1,2019-07-03,680,1,null,12:05:44
32,2,2019-07-03,681,2,5.50,10:15:20
33,null,None,682,3,0.99,09:30:11
34,1,2019-07-03,683,4,2.18,null
35,2,2019-07-03,684,null,null,14:20:05
36,1,2019-07-03,685,6,6.99,12:05:44
37,1,2019-07-03,686,7,1.25,10:15:20
38,2,None,687,8,null,09:30:11
39,null,2019-07-03,688,9,5.50,null
40,1,2019-07-03,689,10,0.99,14:20:05
41,2,2019-07-03,690,1,2.18,12:05:44
42,1,2019-07-03,691,2,null,10:15:20
43,1,None,692,null,6.99,09:30:11
44,2,2019-07-03,693,4,1.25,null
45,null,2019-07-03,694,5,null,14:20:05
46,1,2019-07-03,695,6,5.50,12:05:44
47,2,2019-07-03,696,7,0.99,10:15:20
48,1,None,697,8,2.18,09:30:11
49,1,2019-07-03,698,9,null,null
50,2,2019-07-03,699,10,6.99,14:20:05
1,null,2019-07-03,700,null,1.25,12:05:44
