product_id,vendor_id,market_date,customer_id,quantity,cost_to_customer_per_qty,Sale
30,1,03-Jul-19,629,10,6.99,69.9
32,1,03-Jul-19,631,15,-1,-15
33,1,04-Sep-18,632,20,5.5,110
36,1,03-Jul-19,635,6,-1,-6
38,1,04-Sep-18,637,8,1.25,10
39,1,03-Jul-19,638,9,-1,-9
42,1,03-Jul-19,641,15,2.18,32.7
44,1,03-Jul-19,643,35,6.99,244.65
45,1,03-Jul-19,644,-1,1.25,-1.25
48,1,04-Sep-18,647,8,0.99,7.92
50,1,03-Jul-19,649,10,-1,-10
1,1,03-Jul-19,650,1,6.99,6.99
4,1,03-Jul-19,653,35,5.5,192.5
6,1,03-Jul-19,655,6,2.18,13.08
7,1,03-Jul-19,656,7,-1,-7
10,1,03-Jul-19,659,10,-1,-10
12,1,03-Jul-19,661,15,0.99,14.85
13,1,04-Sep-18,662,20,2.18,43.6
16,1,03-Jul-19,665,6,1.25,7.5
18,1,04-Sep-18,667,8,5.5,44
19,1,03-Jul-19,668,-1,0.99,-0.99
22,1,03-Jul-19,671,15,6.99,104.85
24,1,03-Jul-19,673,35,-1,-35
25,1,03-Jul-19,674,5,5.5,27.5
28,1,04-Sep-18,677,8,-1,-8
30,1,03-Jul-19,679,10,1.25,12.5
31,1,03-Jul-19,680,1,-1,-1
34,1,03-Jul-19,683,35,2.18,76.3
36,1,03-Jul-19,685,6,6.99,41.94
37,1,03-Jul-19,686,7,1.25,8.75
40,1,03-Jul-19,689,10,0.99,9.9
42,1,03-Jul-19,691,15,-1,-15
43,1,04-Sep-18,692,-1,6.99,-6.99
46,1,03-Jul-19,695,6,5.5,33
48,1,04-Sep-18,697,8,2.18,17.44
49,1,03-Jul-19,698,9,-1,-9
2,2,03-Jul-19,501,15,2.18,32.7
5,2,03-Jul-19,504,5,1.25,6.25
8,2,04-Sep-18,507,8,0.99,7.92
11,2,03-Jul-19,510,1,6.99,6.99
14,2,03-Jul-19,513,35,5.5,192.5
17,2,03-Jul-19,516,-1,-1,1
20,2,03-Jul-19,519,10,-1,-10
23,2,04-Sep-18,522,20,2.18,43.6
26,2,03-Jul-19,525,6,1.25,7.5
29,2,03-Jul-19,528,9,0.99,8.91
32,2,03-Jul-19,531,15,6.99,104.85
35,2,03-Jul-19,534,5,5.5,27.5
38,2,04-Sep-18,537,8,-1,-8
41,2,03-Jul-19,540,-1,-1,1
44,2,03-Jul-19,543,35,2.18,76.3
47,2,03-Jul-19,546,7,1.25,8.75
50,2,03-Jul-19,549,10,0.99,9.9
3,2,04-Sep-18,552,20,6.99,139.8
6,2,03-Jul-19,555,6,5.5,33
9,2,03-Jul-19,558,9,-1,-9
12,2,03-Jul-19,561,15,-1,-15
15,2,03-Jul-19,564,-1,2.18,-2.18
18,2,04-Sep-18,567,8,1.25,10
21,2,03-Jul-19,570,1,0.99,0.99
24,2,03-Jul-19,573,35,6.99,244.65
27,2,03-Jul-19,576,7,5.5,38.5
30,2,03-Jul-19,579,10,-1,-10
33,2,04-Sep-18,582,20,-1,-20
36,2,03-Jul-19,585,6,2.18,13.08
39,2,03-Jul-19,588,-1,1.25,-1.25
42,2,03-Jul-19,591,15,0.99,14.85
45,2,03-Jul-19,594,5,6.99,34.95
48,2,04-Sep-18,597,8,5.5,44
1,2,03-Jul-19,600,1,-1,-1
4,2,03-Jul-19,603,35,-1,-35
7,2,03-Jul-19,606,7,2.18,15.26
10,2,03-Jul-19,609,10,1.25,12.5
13,2,04-Sep-18,612,-1,0.99,-0.99
16,2,03-Jul-19,615,6,6.99,41.94
19,2,03-Jul-19,618,9,5.5,49.5
22,2,03-Jul-19,621,15,-1,-15
25,2,03-Jul-19,624,5,-1,-5
28,2,04-Sep-18,627,8,2.18,17.44
31,2,03-Jul-19,630,1,1.25,1.25
34,2,03-Jul-19,633,35,0.99,34.65
37,2,03-Jul-19,636,-1,6.99,-6.99
40,2,03-Jul-19,639,10,5.5,55
43,2,04-Sep-18,642,20,-1,-20
46,2,03-Jul-19,645,6,-1,-6
49,2,03-Jul-19,648,9,2.18,19.62
2,2,03-Jul-19,651,15,1.25,18.75
5,2,03-Jul-19,654,5,0.99,4.95
8,2,04-Sep-18,657,8,6.99,55.92
11,2,03-Jul-19,660,-1,5.5,-5.5
14,2,03-Jul-19,663,35,-1,-35
17,2,03-Jul-19,666,7,-1,-7
20,2,03-Jul-19,669,10,2.18,21.8
23,2,04-Sep-18,672,20,1.25,25
26,2,03-Jul-19,675,6,0.99,5.94
29,2,03-Jul-19,678,9,6.99,62.91
32,2,03-Jul-19,681,15,5.5,82.5
35,2,03-Jul-19,684,-1,-1,1
38,2,04-Sep-18,687,8,-1,-8
41,2,03-Jul-19,690,1,2.18,2.18
44,2,03-Jul-19,693,35,1.25,43.75
47,2,03-Jul-19,696,7,0.99,6.93
50,2,03-Jul-19,699,10,6.99,69.9
3,-1,04-Sep-18,502,20,-1,-20
9,-1,03-Jul-19,508,-1,2.18,-2.18
15,-1,03-Jul-19,514,5,0.99,4.95
21,-1,03-Jul-19,520,1,5.5,5.5
27,-1,03-Jul-19,526,7,-1,-7
33,-1,04-Sep-18,532,-1,1.25,-1.25
39,-1,03-Jul-19,538,9,6.99,62.91
45,-1,03-Jul-19,544,5,-1,-5
1,-1,03-Jul-19,550,1,2.18,2.18
7,-1,03-Jul-19,556,-1,0.99,-0.99
13,-1,04-Sep-18,562,20,5.5,110
19,-1,03-Jul-19,568,9,-1,-9
25,-1,03-Jul-19,574,5,1.25,6.25
31,-1,03-Jul-19,580,-1,6.99,-6.99
37,-1,03-Jul-19,586,7,-1,-7
43,-1,04-Sep-18,592,20,2.18,43.6
49,-1,03-Jul-19,598,9,0.99,8.91
5,-1,03-Jul-19,604,-1,5.5,-5.5
11,-1,03-Jul-19,610,1,-1,-1
17,-1,03-Jul-19,616,7,1.25,8.75
23,-1,04-Sep-18,622,20,6.99,139.8
29,-1,03-Jul-19,628,-1,-1,1
35,-1,03-Jul-19,634,5,2.18,10.9
41,-1,03-Jul-19,640,1,0.99,0.99
47,-1,03-Jul-19,646,7,5.5,38.5
3,-1,04-Sep-18,652,-1,-1,1
9,-1,03-Jul-19,658,9,1.25,11.25
15,-1,03-Jul-19,664,5,6.99,34.95
21,-1,03-Jul-19,670,1,-1,-1
27,-1,03-Jul-19,676,-1,2.18,-2.18
33,-1,04-Sep-18,682,20,0.99,19.8
39,-1,03-Jul-19,688,9,5.5,49.5
45,-1,03-Jul-19,694,5,-1,-5
1,-1,03-Jul-19,700,-1,1.25,-1.25
